model,MAE,MSE,RMSE,within_10,within_20,within_30
lstm,10.817056696309166,347.0613458470284,18.6295825462362,64.48854961832062,86.9618320610687,94.04580152671755
gru,10.859371472253862,352.11666092432,18.76477180581528,64.74809160305344,86.83969465648855,94.12213740458016
rnn,10.823967838440646,360.1337856301105,18.977191194434187,64.8854961832061,87.02290076335878,93.98473282442748
mlp,12.228031800919709,394.5003842229149,19.862033738338955,57.87786259541985,83.66412213740459,92.38167938931298
naive,10.841374044697643,396.2392308859378,19.905758736756,65.22137404580153,85.81679389312977,93.23664122137404
